Series,Part No.,Max Speed (MHz),Memory (Bytes),,I/O,Timer,,,,,,,Connectivity,,,,,,,,,,,,,,,,,,,EXMC,EXMC/SDRAM,Analog Interface,,Package,Core
,,,Flash,SRAM,,GPTM (32bit),GPTM (16bit),Adv TM (16bit),Bsc TM (16bit),SysTick (24bit),WDG,RTC,USART+UART,I2C,SPI,CAN 2.0B,USB 2.0,I2S,SDIO,Ether-net,TMU,SHR TM,COMP,OP-AMP,CEC,LCD-TFT,LCD,Camera,ETHMAC,Crypto/Hash,IPA,,,12bit ADC Units (CHs),12bit DAC Units,,
,GD32E232E8U7,72,64K,8K,up to 23,1,5,1,2,1,2,1,2,2,2,,,1,,,,,,,,,,,,,,,,1(13),4,QFN24,Cortex-M23
,GD32E232K4Q7,72,16K,4K,up to 28,1,4,1,2,1,2,1,2,2,1,,,1,,,,,,,,,,,,,,,,1(16),4,QFN32,Cortex-M23
,GD32E232K6Q7,72,32K,6K,up to 28,1,4,1,2,1,2,1,2,2,1,,,1,,,,,,,,,,,,,,,,1(16),4,QFN32,Cortex-M23
,GD32E232K8Q7,72,64K,8K,up to 28,1,5,1,2,1,2,1,2,2,2,,,1,,,,,,,,,,,,,,,,1(16),4,QFN32,Cortex-M23
GD32E103,GD32E103T8U6,120,64K,20K,up to 26,,4,1,2,1,2,1,2+0,1,1,2 x FD,OTG,,,,,,,,,,,,,,,,,2(10),2,QFN36,Cortex-M4F
,GD32E103TBU6,120,128K,32K,up to 26,,4,1,2,1,2,1,2+0,1,1,2 x FD,OTG,,,,,,,,,,,,,,,,,2(10),2,QFN36,Cortex-M4F
,GD32E103C8T6,120,64K,20K,up to 37,,10,1,2,1,2,1,3+0,2,3,2 x FD,OTG,2,,,,,,,,,,,,,,,,2(10),2,LQFP48,Cortex-M4F
,GD32E103CBT6,120,128K,32K,up to 37,,10,1,2,1,2,1,3+0,2,3,2 x FD,OTG,2,,,,,,,,,,,,,,,,2(10),2,LQFP48,Cortex-M4F
,GD32E103R8T6,120,64K,20K,up to 51,,10,2,2,1,2,1,3+2,2,3,2 x FD,OTG,2,,,,,,,,,,,,,,,,2(16),2,LQFP64,Cortex-M4F
,GD32E103RBT6,120,128K,32K,up to 51,,10,2,2,1,2,1,3+2,2,3,2 x FD,OTG,2,,,,,,,,,,,,,,,,2(16),2,LQFP64,Cortex-M4F
,GD32E103V8T6,120,64K,20K,up to 80,,10,2,2,1,2,1,3+2,2,3,2 x FD,OTG,2,,,,,,,,,,,,,,1,,2(16),2,LQFP100,Cortex-M4F
,GD32E103VBT6,120,128K,32K,up to 80,,10,2,2,1,2,1,3+2,2,3,2 x FD,OTG,2,,,,,,,,,,,,,,1,,2(16),2,LQFP100,Cortex-M4F
GD32F303,GD32F303CCT6,120,256K,48K,up to 37,,4,1,2,1,2,1,3+0,2,3,1,1,2,,,,,,,,,,,,,,,,3(10),2,LQFP48,Cortex-M4
,GD32F303CET6,120,512K,64K,up to 37,,4,1,2,1,2,1,3+0,2,3,1,1,2,,,,,,,,,,,,,,,,3(10),2,LQFP48,Cortex-M4
,GD32F303CGT6,120,1024K,96K,up to 37,,10,1,2,1,2,1,3+0,2,3,1,1,2,,,,,,,,,,,,,,,,3(10),2,LQFP48,Cortex-M4
,GD32F303RCT6,120,256K,48K,up to 51,,4,2,2,1,2,1,3+2,2,3,1,1,2,1,,,,,,,,,,,,,,,3(16),2,LQFP64,Cortex-M4
,GD32F303RET6,120,512K,64K,up to 51,,4,2,2,1,2,1,3+2,2,3,1,1,2,1,,,,,,,,,,,,,,,3(16),2,LQFP64,Cortex-M4
,GD32F303RGT6,120,1024K,96K,up to 51,,10,2,2,1,2,1,3+2,2,3,1,1,2,1,,,,,,,,,,,,,,,3(16),2,LQFP64,Cortex-M4
,GD32F303RIT6,120,2048K,96K,up to 51,,10,2,2,1,2,1,3+2,2,3,1,1,2,1,,,,,,,,,,,,,,,3(16),2,LQFP64,Cortex-M4
,GD32F303RKT6,120,3072K,96K,up to 51,,10,2,2,1,2,1,3+2,2,3,1,1,2,1,,,,,,,,,,,,,,,3(16),2,LQFP64,Cortex-M4
,GD32F303VCT6,120,256K,48K,up to 80,,4,2,2,1,2,1,3+2,2,3,1,1,2,1,,,,,,,,,,,,,1,,3(16),2,LQFP100,Cortex-M4
,GD32F303VET6,120,512K,64K,up to 80,,4,2,2,1,2,1,3+2,2,3,1,1,2,1,,,,,,,,,,,,,1,,3(16),2,LQFP100,Cortex-M4
,GD32F303VGT6,120,1024K,96K,up to 80,,10,2,2,1,2,1,3+2,2,3,1,1,2,1,,,,,,,,,,,,,1,,3(16),2,LQFP100,Cortex-M4
,GD32F303VIT6,120,2048K,96K,up to 80,,10,2,2,1,2,1,3+2,2,3,1,1,2,1,,,,,,,,,,,,,1,,3(16),2,LQFP100,Cortex-M4
,GD32F303VKT6,120,3072K,96K,up to 80,,10,2,2,1,2,1,3+2,2,3,1,1,2,1,,,,,,,,,,,,,1,,3(16),2,LQFP100,Cortex-M4
,GD32F303ZCT6,120,256K,48K,up to 112,,4,2,2,1,2,1,3+2,2,3,1,1,2,1,,,,,,,,,,,,,1,,3(21),2,LQFP144,Cortex-M4
,GD32F303ZET6,120,512K,64K,up to 112,,4,2,2,1,2,1,3+2,2,3,1,1,2,1,,,,,,,,,,,,,1,,3(21),2,LQFP144,Cortex-M4
,GD32F303ZGT6,120,1024K,96K,up to 112,,10,2,2,1,2,1,3+2,2,3,1,1,2,1,,,,,,,,,,,,,1,,3(21),2,LQFP144,Cortex-M4
,GD32F303ZIT6,120,2048K,96K,up to 112,,10,2,2,1,2,1,3+2,2,3,1,1,2,1,,,,,,,,,,,,,1,,3(21),2,LQFP144,Cortex-M4
,GD32F303ZKT6,120,3072K,96K,up to 112,,10,2,2,1,2,1,3+2,2,3,1,1,2,1,,,,,,,,,,,,,1,,3(21),2,LQFP144,Cortex-M4
GD32F305,GD32F305RBT6,120,128K,64K,up to 51,,4,1,2,1,2,1,3+2,2,3,2,OTG,2,,,,,,,,,,,,,,,,2(16),2,LQFP64,Cortex-M4
,GD32F305RCT6,120,256K,96K,up to 51,,4,1,2,1,2,1,3+2,2,3,2,OTG,2,,,,,,,,,,,,,,,,2(16),2,LQFP64,Cortex-M4
,GD32F305RET6,120,512K,96K,up to 51,,4,2,2,1,2,1,3+2,2,3,2,OTG,2,,,,,,,,,,,,,,,,2(16),2,LQFP64,Cortex-M4
